Key,Faculty,Department,Program,Level,Degree,Course code,Course number,Title,Description,Metadata,Type,Website
FAS_1011,FAS,Simone de Beauvoir Institute,Women’s Studies,Undergraduate,Bachelor,WSDB ,496,Directed Research,"Practical, hands-on exercises",Practica,Course-integrated;Research-based;,
FAS_1012,FAS,Simone de Beauvoir Institute,Women’s Studies,Undergraduate,Bachelor,WSDB ,498,Seminar in Women’s Studies,"Practical, hands-on exercises",Practica,Course-integrated,
FAS_1013,FAS,Simone de Beauvoir Institute,Women’s Studies,Undergraduate,Bachelor,WSDB ,290,Introduction to Historical Perspectives in Women’s Studies,"This course provides an introduction to theories and writing that affect the lives of women. Through the writing of feminist authors, students examine, from mainly the 20th century, the development of feminist theories and debate. ",Case Studies,Course-integrated;Research-based;,
FAS_1014,FAS,Simone de Beauvoir Institute,Women’s Studies,Undergraduate,Bachelor,WSDB ,291,Introduction to Contemporary Concerns in Women’s Studies,"This course explores a range of current issues and debates within feminism. Using interdisciplinary feminist theories that consider how systems of power such as patriarchy, capitalism, racism, and heterosexism constitute one another, it examines particular local and global topics of interest/concern which may include health, education, work, violence against women, globalization, militarism, media and cultural representations, families, and feminist activism.",Case studies,Course-integrated;Research-based;,
FAS_1015,FAS,Simone de Beauvoir Institute,Women’s Studies,Undergraduate,Bachelor,WSDB ,391,Health Issues: Feminist Perspectives,"This course presents feminist, intersectional, postcolonialist, poststructuralist and queer examinations of a variety of women’s health issues. ",Case studies,Course-integrated,
FAS_1064,FAS,Simone de Beauvoir Institute,Women’s Studies,Undergraduate,Bachelor,WSDB,491,Feminist Perspectives on Culture,"This seminar explores the central concepts and theories in feminist cultural studies, as they inform feminist, post‑colonial, queer, and post‑structuralist understandings of culture.",Real-world project/assignment;Simulations,Course-integrated,
FAS_392,FAS,Simone de Beauvoir Institute,Women’s Studies,Undergraduate,Bachelor,WSDB,292,Feminism and Research Methods,"Practical, hands-on exercises",Real-world project/assignment;Laboratory/Clinics;\,Course-integrated;Research-based;,
FAS_393,FAS,Simone de Beauvoir Institute,Women’s Studies,Undergraduate,Bachelor,WSDB,394,Tutorial in Women’s Studies,"Tutorial on topic not covered under normal curriculum, independent research ability required",Real-world project/assignment,Course-integrated;Research-based;,
FAS_394,FAS,Simone de Beauvoir Institute,Women’s Studies,Undergraduate,Bachelor,WSDB,494,Advanced Tutorial in Women’s Studies,"Tutorial on topic not covered under normal curriculum, independent research ability required",Real-world project/assignment,Course-integrated;Research-based;,
FAS_264,FAS,"Geography, Planning and Environment","Urban Planning, Urban Studies",Undergraduate,Bachelor,URBS,250,Representation Methods in Urban Studies,Laboratory,Laboratory/clinics;Hands-on workshops,Course-integrated,
FAS_265,FAS,"Geography, Planning and Environment","Urban Planning, Urban Studies",Undergraduate,Bachelor,URBS,260,Analytical Methods in Urban Studies,Laboratory,Laboratory/clinics;Hands-on workshops,Course-integrated,
