"course","name"
"http://focu.io/data#BLDG_6781","Energy Management in Buildings"
"http://focu.io/data#ACCO_653","Information Systems and Internal Control"
"http://focu.io/data#COMP_6721","Introduction to Artificial Intelligence"
"http://focu.io/data#ACTT_321","Movement for the Stage ll"
"http://focu.io/data#BLDG_6741","HVAC Control Systems"
"http://focu.io/data#GEOL_415","Plate Tectonics and Crustal Evolution"
"http://focu.io/data#PHYS_230","Experimental Physics I"
"http://focu.io/data#PRIN_321","Lithography II"
"http://focu.io/data#MECH_424","MEMS - Design and Fabrication"
"http://focu.io/data#GEOL_331","Evolution of the Earth"
"http://focu.io/data#MARK_462","Environment of World Business"
"http://focu.io/data#PERC_211","Theatre in the City"
"http://focu.io/data#RELI_6018","Jewish Community Engagement"
"http://focu.io/data#PTNG_450","Painting IV"
"http://focu.io/data#TESL_341","Language acquisition"
"http://focu.io/data#EMBA_632","Creativity and Innovation"
"http://focu.io/data#PTNG_201","Introduction to Painting"
"http://focu.io/data#PTNG_410","Painting and Popular Culture II"
"http://focu.io/data#BIOL_451","Field Ecology"
"http://focu.io/data#TESL_324","Methodology I"
"http://focu.io/data#MBA_662","MBA Surgical Innovation II"
"http://focu.io/data#JPER_425","Jazz Choir III"
"http://focu.io/data#DFTT_326","Costume Accessories Realization"
"http://focu.io/data#PRIN_291","Contemporary Relief and Woodcut I"
"http://focu.io/data#INDU_6131","Graph Theory with System Applications"
"http://focu.io/data#PHIL_497","Tutorial in Philosophy"
"http://focu.io/data#FBRS_450","Independent Study "
"http://focu.io/data#PHOT_211","Black‑and‑White Photography I"
"http://focu.io/data#CIVI_6401","Transportation Systems Analysis"
"http://focu.io/data#URBS_250","Representation Methods in Urban Studies"
"http://focu.io/data#COMP_477","Animation for Computer Games"
"http://focu.io/data#PRIN_451","Advanced Projects in Print Media I"
"http://focu.io/data#DFTT_337","Scene Painting Realization"
"http://focu.io/data#EMBA_621","Information Technology and Analytics"
"http://focu.io/data#INSE_7100","Design and Analysis of Security Protocols"
"http://focu.io/data#AHSC_690","Practicum A"
"http://focu.io/data#ARTX_492","Independent Study II"
"http://focu.io/data#ENCS_6044","Practicum in Innovation"
"http://focu.io/data#DANC_320","Choreography I"
"http://focu.io/data#ADED_345","Evaluating Adult Learning Projects"
"http://focu.io/data#EDUC_463","Child Studies Seminar: Inclusive Practices in Childhood Settings"
"http://focu.io/data#MECH_6561","High Strength Materials"
"http://focu.io/data#BIOL_398","Intermediate Topics in Biology: Ecology of Urban Environments"
"http://focu.io/data#ENGR_108","Engineering Industrial Experience Reflective Learning I"
"http://focu.io/data#URBS_362","Quantitative Research Methods"
"http://focu.io/data#AHSC_685","Coaching Interventions and Processes"
"http://focu.io/data#MBA_695","Seminar in Special Topics"
"http://focu.io/data#COEN_6531","ASIC Synthesis"
"http://focu.io/data#BTM_481","Information Systems Analysis"
"http://focu.io/data#ACTT_202","INTRODUCTION TO ACTING II"
"http://focu.io/data#ACTT_202","Introduction to Acting ll"
"http://focu.io/data#ECON_421","Econometrics I"
"http://focu.io/data#VDEO_350","Video History and Theory"
"http://focu.io/data#DFTT_211","Drawing for the Theatre"
"http://focu.io/data#CIVI_7401","Design of Transportation Terminals"
