"topicName","topic"
"API","http://focu.io/data#T_API"
"Alexa","http://focu.io/data#T_Alexa"
"Apple Siri","http://focu.io/data#T_Apple_Siri"
"Artificial Intelligence","http://focu.io/data#T_Artificial_Intelligence"
"BERT","http://focu.io/data#T_BERT"
"Concordia University","http://focu.io/data#T_Concordia_University"
"Deep Learning","http://focu.io/data#T_Deep_Learning"
"Dublin Core","http://focu.io/data#T_Dublin_Core"
"Eliza","http://focu.io/data#T_Eliza"
"Google","http://focu.io/data#T_Google"
"Google Search","http://focu.io/data#T_Google_Search"
"IBM","http://focu.io/data#T_IBM"
"Information Retrieval","http://focu.io/data#T_Information_Retrieval"
"LOD","http://focu.io/data#T_LOD"
"Microsoft","http://focu.io/data#T_Microsoft"
"Microsoft Tay","http://focu.io/data#T_Microsoft_Tay"
"NLP","http://focu.io/data#T_NLP"
"QA","http://focu.io/data#T_QA"
"RAM","http://focu.io/data#T_RAM"
"RDF","http://focu.io/data#T_RDF"
"Recommender Systems","http://focu.io/data#T_Recommender_Systems"
"Refinitiv","http://focu.io/data#T_Refinitiv"
"SAAS","http://focu.io/data#T_SAAS"
"Software Engineering","http://focu.io/data#T_Software_Engineering"
"Text Mining","http://focu.io/data#T_Text_Mining"
"UIMA","http://focu.io/data#T_UIMA"
"A12","http://focu.io/data#T_A12"
"A2","http://focu.io/data#T_A2"
"AI","http://focu.io/data#T_AI"
"Auteur","http://focu.io/data#T_Auteur"
"Concordia University","http://focu.io/data#T_Concordia_University"
"Core","http://focu.io/data#T_Core"
"DBpedia","http://focu.io/data#T_DBpedia"
"DIAGRAM","http://focu.io/data#T_DIAGRAM"
"FOAF","http://focu.io/data#T_FOAF"
"Frame Problem","http://focu.io/data#T_Frame_Problem"
"Frames","http://focu.io/data#T_Frames"
"Google","http://focu.io/data#T_Google"
"Google Knowledge Graph","http://focu.io/data#T_Google_Knowledge_Graph"
"Graph","http://focu.io/data#T_Graph"
"IBM","http://focu.io/data#T_IBM"
"IRI","http://focu.io/data#T_IRI"
"LLM","http://focu.io/data#T_LLM"
"OWL","http://focu.io/data#T_OWL"
"Oracle Spatial","http://focu.io/data#T_Oracle_Spatial"
"PHP","http://focu.io/data#T_PHP"
"Primer","http://focu.io/data#T_Primer"
"RDF","http://focu.io/data#T_RDF"
"RDFS","http://focu.io/data#T_RDFS"
"SHRDLU","http://focu.io/data#T_SHRDLU"
"SHRUTI","http://focu.io/data#T_SHRUTI"
"Semantic Networks","http://focu.io/data#T_Semantic_Networks"
"Software Engineering","http://focu.io/data#T_Software_Engineering"
"TBL","http://focu.io/data#T_TBL"
