"topicName","topic","resource"
"A12","http://focu.io/data#T_A12","http://focu.io/data#COMP_474_6741_lecture2_slides02"
"A2","http://focu.io/data#T_A2","http://focu.io/data#COMP_474_6741_lecture2_slides02"
"AI","http://focu.io/data#T_AI","http://focu.io/data#COMP_474_6741_lecture2_slides02"
"Auteur","http://focu.io/data#T_Auteur","http://focu.io/data#COMP_474_6741_lecture2_slides02"
"Concordia University","http://focu.io/data#T_Concordia_University","http://focu.io/data#COMP_474_6741_lecture2_slides02"
"Concordia University","http://focu.io/data#T_Concordia_University","http://focu.io/data#COMP_474_6741_lecture2_worksheet01"
"Core","http://focu.io/data#T_Core","http://focu.io/data#COMP_474_6741_lecture2_slides02"
"DBpedia","http://focu.io/data#T_DBpedia","http://focu.io/data#COMP_474_6741_lecture2_slides02"
"DIAGRAM","http://focu.io/data#T_DIAGRAM","http://focu.io/data#COMP_474_6741_lecture2_slides02"
"FOAF","http://focu.io/data#T_FOAF","http://focu.io/data#COMP_474_6741_lecture2_slides02"
"Frame Problem","http://focu.io/data#T_Frame_Problem","http://focu.io/data#COMP_474_6741_lecture2_slides02"
"Frames","http://focu.io/data#T_Frames","http://focu.io/data#COMP_474_6741_lecture2_slides02"
"Google","http://focu.io/data#T_Google","http://focu.io/data#COMP_474_6741_lecture2_slides02"
"Google Knowledge Graph","http://focu.io/data#T_Google_Knowledge_Graph","http://focu.io/data#COMP_474_6741_lecture2_slides02"
"Graph","http://focu.io/data#T_Graph","http://focu.io/data#COMP_474_6741_lecture2_slides02"
"IBM","http://focu.io/data#T_IBM","http://focu.io/data#COMP_474_6741_lecture2_slides02"
"IRI","http://focu.io/data#T_IRI","http://focu.io/data#COMP_474_6741_lecture2_slides02"
"Intelligent Systems","http://focu.io/data#T_Intelligent_Systems","http://focu.io/data#COMP_474_6741_lecture2_worksheet01"
"LLM","http://focu.io/data#T_LLM","http://focu.io/data#COMP_474_6741_lecture2_slides02"
"McGill","http://focu.io/data#T_McGill","http://focu.io/data#COMP_474_6741_lecture2_worksheet01"
"McGill University","http://focu.io/data#T_McGill_University","http://focu.io/data#COMP_474_6741_lecture2_worksheet01"
"OWL","http://focu.io/data#T_OWL","http://focu.io/data#COMP_474_6741_lecture2_slides02"
"Oracle Spatial","http://focu.io/data#T_Oracle_Spatial","http://focu.io/data#COMP_474_6741_lecture2_slides02"
"PHP","http://focu.io/data#T_PHP","http://focu.io/data#COMP_474_6741_lecture2_slides02"
"Primer","http://focu.io/data#T_Primer","http://focu.io/data#COMP_474_6741_lecture2_slides02"
"RDF","http://focu.io/data#T_RDF","http://focu.io/data#COMP_474_6741_lecture2_slides02"
"RDF","http://focu.io/data#T_RDF","http://focu.io/data#COMP_474_6741_lecture2_worksheet01"
"RDFS","http://focu.io/data#T_RDFS","http://focu.io/data#COMP_474_6741_lecture2_slides02"
"SHRDLU","http://focu.io/data#T_SHRDLU","http://focu.io/data#COMP_474_6741_lecture2_slides02"
"SHRUTI","http://focu.io/data#T_SHRUTI","http://focu.io/data#COMP_474_6741_lecture2_slides02"
"Semantic Networks","http://focu.io/data#T_Semantic_Networks","http://focu.io/data#COMP_474_6741_lecture2_slides02"
"Software Engineering","http://focu.io/data#T_Software_Engineering","http://focu.io/data#COMP_474_6741_lecture2_slides02"
"TBL","http://focu.io/data#T_TBL","http://focu.io/data#COMP_474_6741_lecture2_slides02"
"Text","http://focu.io/data#T_Text","http://focu.io/data#COMP_474_6741_lecture2_slides02"
"The Glass Palace","http://focu.io/data#T_The_Glass_Palace","http://focu.io/data#COMP_474_6741_lecture2_slides02"
"Turtle","http://focu.io/data#T_Turtle","http://focu.io/data#COMP_474_6741_lecture2_slides02"
"WWW","http://focu.io/data#T_WWW","http://focu.io/data#COMP_474_6741_lecture2_slides02"
"Wikidata","http://focu.io/data#T_Wikidata","http://focu.io/data#COMP_474_6741_lecture2_slides02"
"Wikipedia","http://focu.io/data#T_Wikipedia","http://focu.io/data#COMP_474_6741_lecture2_slides02"
"YouTube","http://focu.io/data#T_YouTube","http://focu.io/data#COMP_474_6741_lecture2_slides02"
