"topicName","wiki","event","resource"
"Need","https://www.wikidata.org/wiki/Q190258","http://focu.io/data#COMP_474_6741_lecture8","http://focu.io/data#COMP_474_6741_lecture8_slides08"
"Turtle","https://www.wikidata.org/wiki/Q758540","http://focu.io/data#COMP_474_6741_lecture2","http://focu.io/data#COMP_474_6741_lecture2_slides02"
"Oracle Spatial","https://www.wikidata.org/wiki/Q3508244","http://focu.io/data#COMP_474_6741_lecture2","http://focu.io/data#COMP_474_6741_lecture2_slides02"
"Frames","https://www.wikidata.org/wiki/Q17005569","http://focu.io/data#COMP_474_6741_lecture2","http://focu.io/data#COMP_474_6741_lecture2_slides02"
"Evaluate","https://www.wikidata.org/wiki/Q1379672","http://focu.io/data#COMP_474_6741_lecture5","http://focu.io/data#COMP_474_6741_lecture5_worksheet04"
"Dawson College","https://www.wikidata.org/wiki/Q2983587","http://focu.io/data#COMP_474_6741_lecture4","http://focu.io/data#COMP_474_6741_lecture4_worksheet03"
"Apple Siri","https://www.wikidata.org/wiki/Q582159","http://focu.io/data#COMP_474_6741_lecture1","http://focu.io/data#COMP_474_6741_lecture1_slides01"
"Classifiers","https://www.wikidata.org/wiki/Q1744628","http://focu.io/data#COMP_474_6741_lecture8","http://focu.io/data#COMP_474_6741_lecture8_slides08"
"Tagging","https://www.wikidata.org/wiki/Q180160","http://focu.io/data#COMP_474_6741_lecture8","http://focu.io/data#COMP_474_6741_lecture8_slides08"
"CONTROL","https://www.wikidata.org/wiki/Q1247268","http://focu.io/data#COMP_474_6741_lecture8","http://focu.io/data#COMP_474_6741_lecture8_slides08"
"IBM","https://www.wikidata.org/wiki/Q37156","http://focu.io/data#COMP_474_6741_lecture2","http://focu.io/data#COMP_474_6741_lecture2_slides02"
"Deep Learning","https://www.wikidata.org/wiki/Q197536","http://focu.io/data#COMP_474_6741_lecture1","http://focu.io/data#COMP_474_6741_lecture1_slides01"
"Core","https://www.wikidata.org/wiki/Q19481932","http://focu.io/data#COMP_474_6741_lecture2","http://focu.io/data#COMP_474_6741_lecture2_slides02"
"DBpedia","https://www.wikidata.org/wiki/Q465","http://focu.io/data#COMP_474_6741_lecture2","http://focu.io/data#COMP_474_6741_lecture2_slides02"
"Vocabularies","https://www.wikidata.org/wiki/Q4052547","http://focu.io/data#COMP_474_6741_lecture3","http://focu.io/data#COMP_474_6741_lecture3_slides03"
"Wikipedia","https://www.wikidata.org/wiki/Q52","http://focu.io/data#COMP_474_6741_lecture2","http://focu.io/data#COMP_474_6741_lecture2_slides02"
"HBO","https://www.wikidata.org/wiki/Q23633","http://focu.io/data#COMP_474_6741_lecture7","http://focu.io/data#COMP_474_6741_lecture7_slides07"
"Frame Problem","https://www.wikidata.org/wiki/Q1185775","http://focu.io/data#COMP_474_6741_lecture2","http://focu.io/data#COMP_474_6741_lecture2_slides02"
"TBL","https://www.wikidata.org/wiki/Q4001328","http://focu.io/data#COMP_474_6741_lecture2","http://focu.io/data#COMP_474_6741_lecture2_slides02"
"JM","https://www.wikidata.org/wiki/Q1688576","http://focu.io/data#COMP_474_6741_lecture8","http://focu.io/data#COMP_474_6741_lecture8_slides08"
"DFA","https://www.wikidata.org/wiki/Q1153070","http://focu.io/data#COMP_474_6741_lecture7","http://focu.io/data#COMP_474_6741_lecture7_slides07"
"Linked Open Data","https://www.wikidata.org/wiki/Q515701","http://focu.io/data#COMP_474_6741_lecture4","http://focu.io/data#COMP_474_6741_lecture4_slides04"
"XML","https://www.wikidata.org/wiki/Q2115","http://focu.io/data#COMP_474_6741_lecture8","http://focu.io/data#COMP_474_6741_lecture8_slides08"
"Construct","https://www.wikidata.org/wiki/Q13409045","http://focu.io/data#COMP_474_6741_lecture4","http://focu.io/data#COMP_474_6741_lecture4_slides04"
"Intro","https://www.wikidata.org/wiki/Q3153713","http://focu.io/data#COMP_474_6741_lecture6","http://focu.io/data#COMP_474_6741_lecture6_slides06"
"Artificial Intelligence","https://www.wikidata.org/wiki/Q109875730","http://focu.io/data#COMP_474_6741_lecture1","http://focu.io/data#COMP_474_6741_lecture1_slides01"
"FOAF","https://www.wikidata.org/wiki/Q1389366","http://focu.io/data#COMP_474_6741_lecture2","http://focu.io/data#COMP_474_6741_lecture2_slides02"
"NAD","https://www.wikidata.org/wiki/Q1959710","http://focu.io/data#COMP_474_6741_lecture8","http://focu.io/data#COMP_474_6741_lecture8_slides08"
"P","https://www.wikidata.org/wiki/Q9946","http://focu.io/data#COMP_474_6741_lecture6","http://focu.io/data#COMP_474_6741_lecture6_slides06"
"DIAGRAM","https://www.wikidata.org/wiki/Q5165665","http://focu.io/data#COMP_474_6741_lecture2","http://focu.io/data#COMP_474_6741_lecture2_slides02"
"Motivation","https://www.wikidata.org/wiki/Q6917873","http://focu.io/data#COMP_474_6741_lecture6","http://focu.io/data#COMP_474_6741_lecture6_slides06"
"CS","https://www.wikidata.org/wiki/Q209357","http://focu.io/data#COMP_474_6741_lecture6","http://focu.io/data#COMP_474_6741_lecture6_slides06"
"AP","https://www.wikidata.org/wiki/Q40469","http://focu.io/data#COMP_474_6741_lecture5","http://focu.io/data#COMP_474_6741_lecture5_worksheet04"
"SELECT","https://www.wikidata.org/wiki/Q1164001","http://focu.io/data#COMP_474_6741_lecture7","http://focu.io/data#COMP_474_6741_lecture7_slides07"
"CONSTRUCT","https://www.wikidata.org/wiki/Q659390","http://focu.io/data#COMP_474_6741_lecture4","http://focu.io/data#COMP_474_6741_lecture4_slides04"
"NER","https://www.wikidata.org/wiki/Q787383","http://focu.io/data#COMP_474_6741_lecture8","http://focu.io/data#COMP_474_6741_lecture8_slides08"
"Microsoft","https://www.wikidata.org/wiki/Q2283","http://focu.io/data#COMP_474_6741_lecture1","http://focu.io/data#COMP_474_6741_lecture1_slides01"
"MIN","https://www.wikidata.org/wiki/Q953046","http://focu.io/data#COMP_474_6741_lecture4","http://focu.io/data#COMP_474_6741_lecture4_slides04"
"A12","https://www.wikidata.org/wiki/Q4648862","http://focu.io/data#COMP_474_6741_lecture2","http://focu.io/data#COMP_474_6741_lecture2_slides02"
"ISO","https://www.wikidata.org/wiki/Q930439","http://focu.io/data#COMP_474_6741_lecture3","http://focu.io/data#COMP_474_6741_lecture3_slides03"
"AI","https://www.wikidata.org/wiki/Q2494121","http://focu.io/data#COMP_474_6741_lecture2","http://focu.io/data#COMP_474_6741_lecture2_slides02"
