"event","resource"
"http://focu.io/data#COMP_474_6741_lecture1","http://focu.io/data#COMP_474_6741_lecture1_readings01_1"
"http://focu.io/data#COMP_474_6741_lecture1","http://focu.io/data#COMP_474_6741_lecture1_readings01_2"
"http://focu.io/data#COMP_474_6741_lecture1","http://focu.io/data#COMP_474_6741_lecture1_readings01_3"
"http://focu.io/data#COMP_474_6741_lecture2","http://focu.io/data#COMP_474_6741_lecture2_readings02_1"
"http://focu.io/data#COMP_474_6741_lecture2","http://focu.io/data#COMP_474_6741_lecture2_readings02_2"
"http://focu.io/data#COMP_474_6741_lecture3","http://focu.io/data#COMP_474_6741_lecture3_readings03_1"
"http://focu.io/data#COMP_474_6741_lecture3","http://focu.io/data#COMP_474_6741_lecture3_readings03_2"
"http://focu.io/data#COMP_474_6741_lecture4","http://focu.io/data#COMP_474_6741_lecture4_readings04_1"
"http://focu.io/data#COMP_474_6741_lecture4","http://focu.io/data#COMP_474_6741_lecture4_readings04_2"
"http://focu.io/data#COMP_474_6741_lecture5","http://focu.io/data#COMP_474_6741_lecture5_readings05_1"
"http://focu.io/data#COMP_474_6741_lecture5","http://focu.io/data#COMP_474_6741_lecture5_readings05_2"
"http://focu.io/data#COMP_474_6741_lecture5","http://focu.io/data#COMP_474_6741_lecture5_readings05_3"
"http://focu.io/data#COMP_474_6741_lecture6","http://focu.io/data#COMP_474_6741_lecture6_readings06_1"
"http://focu.io/data#COMP_474_6741_lecture6","http://focu.io/data#COMP_474_6741_lecture6_readings06_2"
"http://focu.io/data#COMP_474_6741_lecture6","http://focu.io/data#COMP_474_6741_lecture6_readings06_3"
"http://focu.io/data#COMP_474_6741_lecture7","http://focu.io/data#COMP_474_6741_lecture7_readings07_1"
"http://focu.io/data#COMP_474_6741_lecture8","http://focu.io/data#COMP_474_6741_lecture8_readings08_1"
